,logFC,logCPM,F,PValue,FDR
GALNS,-0.686656947401691,4.90347618449822,56.8469381254304,1.075452511581e-07,6.73589388744923e-07
GAS2L3,1.13017327211591,4.3015733442419,56.8461653996135,1.07557519601541e-07,6.73589388744923e-07
COMMD9,-0.518277990075251,5.33695317348879,56.8266691900472,1.07867561426674e-07,6.75203922034473e-07
SEMA4B,1.21065804673869,5.4079319480207,56.7743387068007,1.08704566587455e-07,6.80113856587341e-07
PTPN18,0.710856089415433,4.25273455832755,56.7416026393989,1.09231752578605e-07,6.83081583856338e-07
TKT,1.13767557141129,9.86806530449175,56.7228432999567,1.09535106821339e-07,6.84332497091285e-07
MAP3K9,-1.40866244734983,5.72392691996967,56.7226849671021,1.09537671087875e-07,6.84332497091285e-07
UNC5D,1.82678618658516,5.86333444822614,56.7134508094751,1.09687334984975e-07,6.84936469572842e-07
SPECC1,0.885045043173041,6.33603432535411,56.7093348760196,1.09754116112447e-07,6.85022551844274e-07
MEDAG,4.44146029529449,1.60859228698908,56.6949266250468,1.0998823851913e-07,6.86152495703799e-07
OSBPL1A,0.909861657724943,6.11776914680856,56.6905601745859,1.10059296880998e-07,6.86182177018907e-07
TRIM59,1.20408744226068,5.80030545698029,56.6849454237512,1.10150743029069e-07,6.86182177018907e-07
GSTA1,-3.0440957645603,0.659644902236735,56.6848527783095,1.10152252615986e-07,6.86182177018907e-07
MYOF,-4.44067989855288,5.91526386439763,56.6808039361858,1.10218247373312e-07,6.86262555658686e-07
MAP4K4,-0.641096849288712,7.26465897918322,56.6494511754921,1.10730743246431e-07,6.89121611556751e-07
MCOLN2,4.18764655744421,1.5447441921873,56.6373307700051,1.10929558130033e-07,6.90026693161118e-07
GABRG1,3.15050992154605,-0.636743839170054,56.6296841311252,1.11055187868716e-07,6.90475881861966e-07
CA8,4.45927516735355,2.71980937297221,56.6244286738777,1.1114162152764e-07,6.90681057628019e-07
PPP1R18,-0.951194960409553,5.17054788044867,56.5885420065743,1.1173378696135e-07,6.93968266463945e-07
ELOVL1,-0.872241548288805,5.31455129835839,56.5858732057015,1.11777961533184e-07,6.93968266463945e-07
VAMP1,1.43692851274583,3.63396367679371,56.5490038200785,1.12390177059049e-07,6.97434195230564e-07
TLR3,4.8461125008541,0.924458342361512,58.5057927918771,1.1295475037147e-07,7.00601297169686e-07
RFESD,-1.46866935489551,3.04743805571562,56.5054631866379,1.13117863507543e-07,7.01276500574824e-07
DCHS1,-1.10021069381617,5.55920514988542,56.4891007891961,1.13392646965333e-07,7.02643027168695e-07
SRP14,-0.671309383495274,8.80892389369172,56.4432224301267,1.14166983925071e-07,7.07102268430989e-07
